樓層,區域,儲位類型,才數,儲格數(板、層),儲位才數
2F西,B,重型層架-低,10513.06667,336,31.28888889
2F西,B,落地儲位,2048,45,45.51111111
2F西,C,重型層架-低,10638.22222,340,31.28888889
2F西,C,落地儲位,1820.444444,40,45.51111111
2F東,A,落地儲位,10695.11111,235,45.51111111
2F東,B,落地儲位,13471.28889,296,45.51111111
2F東,C,落地儲位,14381.51111,316,45.51111111
3F,B,重型層架,20707.55556,455,45.51111111
3F,C,重型層架,19797.33333,435,45.51111111
3F,B,重型層架-低,8948.622222,286,31.28888889
3F,C,重型層架-低,8698.311111,278,31.28888889
4F,B,中型層架(格),755.5555556,425,1.777777778
4F,B,小藍格,116.1481481,196,0.592592593
6F,B,重型層架,3868.444444,136,28.44444444
6F,B,重型層架-低,5028.977778,272,18.48888889
6F,B,AGV層架,3392,636,5.333333333
6F,B,落地儲位,455.1111111,10,45.51111111
6F,C,重型層架,3868.444444,136,28.44444444
6F,C,重型層架-低,5028.977778,272,18.48888889
6F,C,AGV層架,5191.111111,730,7.111111111
6F,C,落地儲位,500.6222222,11,45.51111111
6F,D,AGV層架,5546.666667,780,7.111111111
6F,D,AGV層架-紙抽,7680,5760,1.333333333
7F,A,重型層架,29218.13333,642,31.28888889
7F,A,重型層架-低,12390.4,396,31.28888889
7F,A,AGV層架,55367.11111,8689,7.111111111
7F,A,AGV層架-紙抽,6762.666667,5072,1.777777778
7F,A,鐵櫃,54.72,324,0.168888889
7F,B,重型層架,47650.13333,1047,45.51111111
7F,B,重型層架-低,25725.15556,646,39.82222222
7F,C,重型層架,157741.5111,3466,45.51111111
7F,C,重型層架-低,83507.2,2097,39.82222222
7F,C,落地儲位,1865.955556,41,45.51111111
7F,D,重型層架,151278.9333,3324,45.51111111
7F,D,重型層架-低,80361.24444,2018,39.82222222
8F,A,落地儲位,364.0888889,8,45.51111111
8F,A,AGV層架,8832,1656,5.333333333
8F,A,AGV層架-紙抽,4416,3312,1.333333333
8F,A,鐵櫃,170.24,1008,0.168888889
8F,B,重型層架,3413.333333,120,28.44444444
8F,B,重型層架-低,4437.333333,240,18.48888889
8F,B,AGV層架,3616,678,5.333333333
8F,B,落地儲位,546.1333333,12,45.51111111
8F,C,重型層架,3413.333333,120,28.44444444
8F,C,重型層架-低,4437.333333,240,18.48888889
8F,C,AGV層架,5262.222222,740,7.111111111
8F,C,落地儲位,546.1333333,12,45.51111111
8F,D,重型層架,3128.888889,110,28.44444444
8F,D,重型層架-低,4067.555556,220,18.48888889
8F,D,AGV層架,4728.888889,665,7.111111111
8F,D,落地儲位,364.0888889,8,45.51111111
總計,,,866454.1748,49329,
