商品ID,商品名稱,借/採,儲位,儲位庫存數,庫齡,區編,區名,館編,館名,長(cm),寬(cm),高(cm),重量(kg),(近)月銷量,(近)月-有揀貨單天數,(近)90日銷量,(近)90日-有揀貨單天數,供應商ID,供應商名稱,所屬PM,總庫存數,總庫存_迴轉天數,才數,材積別,樓層,儲位型態,大區編,大區名,儲位才數,儲位健康度,材積判斷,總才數,人工/自動,庫齡級距,重型架判斷
DAAA07-A900BDQ23-000,Le Mont Botanique LMB每日活力噴霧精華露 200ml,借,80M22078D,3,24,DAAA,洗髮精,DAAACN,頭皮養護,18,4,4,0.23,0,0,0,0,36036,沛柏實業,朱瑄宇,3,99999,0.010666667,1,7F,AGV層架,DA,日用品,7.111111111,0.21848724,小材積,0.032,人工倉,<半年,AGV層架
DAAA07-A900HRRUA-002,施華蔻護髮素400ml,借,80M26071B,3,100,DAAK,洗衣精,DAAK05,洗衣精,22,6,4,0.46,0,0,0,0,30595,欣新網,李平卉,3,99999,0.019555556,1,7F,AGV層架,DA,日用品,7.111111111,0.17625,小材積,0.058666667,人工倉,<半年,AGV層架
DAAA07-A900HXG0J-000,FINO 高效滲透護髮膜(升級版)補充包 700g,借,80N31026C,45,116,DAAA,洗髮精,DAAA07,髮膜,22,10,5,0.72,17,0,36,0,39457,樂達(菲婷絲),朱瑄宇,49,2.88,0.040740741,1,7F,重型層架,DA,日用品,45.51111111,0.24366862,小材積,1.833333333,人工倉,<半年,重型層架
DAAA07-A900JVS2T-000,HS MILANO 米蘭。萃 角蛋白修護髮膜(500ml),借,80M48070D,2,139,DDBX,沙龍髮品,DDBX7W,髮膜/髮乳,11,11,9,0.5,0,0,0,0,10937,陞萊國際,王思婷,2,99999,0.040333333,1,7F,AGV層架,DD,保養,7.111111111,0.090442708,小材積,0.080666667,人工倉,<半年,AGV層架
DAAA09-A9005E9KM-000,澳潔蕬頂級保加利亞奧圖玫瑰精油沐浴露-8.5oz/250ML,借,80M14076C,2,97,DAAJ,沐浴乳/洗手乳,DAAJ03,沐浴乳,16,8,4,0.29,2,0,6,0,27037,旭九,朱瑄宇,2,1,0.018962963,1,7F,AGV層架,DA,日用品,7.111111111,0.149338542,小材積,0.037925926,人工倉,<半年,AGV層架
DAAA09-A900HWZZZ-000,清淨海 森山島讀洗髮精-海 750mlx3入,借,80N25020A,2,193,DAAA,洗髮精,DAAA09,洗髮精,27,19,27,2.72,0,0,0,0,10265,凱創,朱瑄宇,2,99999,0.513,2,7F,重型層架,DA,日用品,39.82222222,0.107304688,小材積,1.026,人工倉,>=半年,重型層架-低
DAAA09-A900HX00G-000,清淨海 森山島讀洗髮精-海 750ml6入(箱購),借,80M19074A,1,687,DAAA,洗髮精,DAAA09,洗髮精,27,20,23,5.23,0,0,0,0,10265,凱創,朱瑄宇,1,99999,0.46,2,7F,AGV層架,DA,日用品,7.111111111,0.401875,小材積,0.46,人工倉,>=1年,AGV層架
DAAA09-A900IM389-001,MEN'S Biore 洗髮精 750g,借,80M36079B,11,27,DDAX,男士清潔,DDAXLQ,沐浴乳,11,7,23,0.84,35,0,95,0,33534,八達網,黃郁萍,53,1.51,0.065592593,1,7F,AGV層架,DD,保養,7.111111111,0.374630208,小材積,0.721518519,人工倉,<半年,AGV層架
DAAA09-A900IM389-001,MEN'S Biore 洗髮精 750g,借,80N20027D,17,45,DDAX,男士清潔,DDAXLQ,沐浴乳,11,7,23,0.84,35,0,95,0,33534,八達網,黃郁萍,53,1.51,0.065592593,1,7F,重型層架,DD,保養,45.51111111,0.132606608,小材積,1.115074074,人工倉,<半年,重型層架
DAAA09-A900JDZLT-000,LAWRENCE 柔綸絲 紫曜閃耀滋養修護乳(400ml),借,80M20071E,1,301,DDAH,香水,DDAHMD,更多 其他香水品牌,8,8,20,0.48,0,0,0,0,10937,陞萊國際,王思婷,1,99999,0.047407407,1,7F,AGV層架,DD,保養,7.111111111,0.122776042,小材積,0.047407407,人工倉,>=半年,AGV層架
DAAA09-A900JZRMK-001,清淨海 森山島讀洗髮精-750ml(12入組)-四款香味任選(木/海/花/山),借,80N25006B,3,110,DAAA,洗髮精,DAAA09,洗髮精,44,30,29,9,0,0,0,0,10265,凱創,朱瑄宇,3,99999,1.417777778,5,7F,重型層架,DA,日用品,39.82222222,0.208660714,小材積,4.253333333,人工倉,<半年,重型層架-低
DAAA09-A900JZRMK-004,清淨海 森山島讀洗髮精-750ml(12入組)-四款香味任選(木/海/花/山),借,80N25015B,3,110,DAAA,洗髮精,DAAA09,洗髮精,54,54,22,9.9,0,0,0,0,10265,凱創,朱瑄宇,3,99999,2.376,6,7F,重型層架,DA,日用品,39.82222222,0.333683036,小材積,7.128,人工倉,<半年,重型層架-低
DAAA09-A900JZXWP-002,清淨海 森山島讀沐浴露-750ml(3入組)-四款香味任選(木/海/花/山),借,80N24058B,1,63,DAAJ,沐浴乳/洗手乳,DAAJ03,沐浴乳,19,24,28,2.77,0,0,1,0,10265,凱創,朱瑄宇,1,99999,0.472888889,2,7F,重型層架,DA,日用品,39.82222222,0.074821429,小材積,0.472888889,人工倉,<半年,重型層架-低
DAAA09-A900KA5M4-000,R&Egrave;XOS若瑟外泌體洗髮精500ml,借,80M37070B,11,34,DDAF,醫美保養,DDAF5G,REXOS 若瑟,18,7,7,0.5,4,0,4,0,41450,常春藤生技,高心榆,11,2.75,0.032666667,1,7F,AGV層架,DD,保養,7.111111111,0.234455078,小材積,0.359333333,人工倉,<半年,AGV層架
DAAA0A-A900J2N0C-000,佰束人參角蛋白焦髮賦活霜250g 3入組,借,80M18072C,2,37,DAAA,洗髮精,DAAA0A,潤髮,19,17,69,0.76,0,0,0,0,38720,棋森,朱瑄宇,2,99999,0.825444444,5,7F,AGV層架,DA,日用品,7.111111111,0.46268125,小材積,1.650888889,人工倉,<半年,AGV層架
DAAA12-A26454043-000,《雪芙蘭》清爽保濕卸妝油-200ml,借,80M13077C,19,56,DAAM,臉部清潔,DAAM79,卸妝,6,6,18,0.22,2,0,22,0,20501,盛香堂,朱瑄宇,19,9.5,0.024,1,7F,AGV層架,DA,日用品,7.111111111,0.560947917,小材積,0.456,人工倉,<半年,AGV層架
DAAA2M-A900I01DE-000,莉婕頂級奶霜泡沫染髮劑 0SP 淘氣可愛蜜茶棕,借,80M27074C,4,139,DDCH,染髮造型,DDCH7K,染髮霜,17.5,8,8,0.23,1,0,4,0,33534,八達網,朱瑄宇,4,4,0.041481481,1,7F,AGV層架,DD,保養,7.111111111,0.122524089,小材積,0.165925926,人工倉,<半年,AGV層架
